2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,425,10,10,10,10,2
2,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,106,10,2
2,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,10,2
2,10,10,10,10,10,102,10,10,10,10,10,202,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,202,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,202,2,10,10,10,10,10,10,10,10,4,4,4,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,202,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,4,4,10,10,10,4,10,10,10,10,10,10,202,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,202,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,201,201,201,10,2
2,10,10,10,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,204,204,204,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,201,201,201,201,201,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,10,10,10,10,10,10,10,436,10,2
2,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,4,4,10,10,10,4,10,10,10,10,10,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,100,10,4,201,201,201,10,102,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,exit,,,,,,100,Hero Spawn,,,,,,102,,Checkpoint,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,501,,Champi,,,,,,,
,-1, Non walkable ,,,,,,,201,204,Piques,,,1 -> 4 ,Orientation,,,,,,,455,,disk,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Walkable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,1024,,,Tile X,32,,,N Tile X,,22,,,,,,,,,,,,,,,,,,,,,
H,768,,,Tile Y ,32,,,N Tile Y,,24,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcul Pixels ,,,,X,22,,,Result,,X,=,704,,,,,,,,,,,,,,,,,,,
,,,,Y,23,,,,,Y,=,736,,,,,,,,,,,,,,,,,,,
